,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
GRHL2,-0.198320640413937,-0.860655639871277,-0.553724176265454,-1.07472431221531,-0.441790488987495,26.2515304280359,8.69752045349985e-09,3.43710194648762e-06
PAICS,-0.162118095472295,0.394298019253362,1.40050655217138,1.94096735643884,-0.633095160849824,26.0145783512472,9.54082360633572e-09,3.68657424148812e-06
GAREM1,-0.116149095887007,-0.530456624542722,-1.09506018351328,-1.15850640420594,-0.412039873489701,25.7900399616687,1.04216413714e-08,3.9393804383892e-06
TARDBP,-0.133233657603808,0.844475369503309,1.14789783900706,0.776982345233853,0.0984256782339516,25.136765047069,1.35211877674561e-08,5.00226410426653e-06
PGK1,-0.0732555747842535,-0.0783171933550491,0.984002519887527,1.13389241198548,-0.226262707928436,24.3090064721253,1.89505006397224e-08,6.86481885673943e-06
ADNP,-0.0598325920022288,0.559401502669312,0.741466168865997,0.827767342778405,0.370448443761399,23.8586249722764,2.28566949583581e-08,8.11086146808022e-06
ARID1A,0.259997149934939,0.667898471203291,0.65380957386545,0.863061206751828,0.444629177336457,23.5798152496549,2.57035274000398e-08,8.84926321902786e-06
SRF,0.0310107247130273,0.473187907440242,0.699693430572447,0.860894516297438,-0.156550203883014,23.5567668466464,2.59553959150231e-08,8.84926321902786e-06
PDPK1,0.133008666822373,0.963459027109713,1.31157911474147,1.36419948946925,-0.279893152896897,23.252812746574,2.95375735089804e-08,9.87691015719522e-06
SSR2,-0.136929541875191,-1.00929394186779,-0.785914864570194,-0.512177241794959,-0.407494871016077,22.5683779932715,3.97083254798804e-08,1.3027327612154e-05
YAP1,-0.0362097679965327,-0.868202306814798,-0.86544874628556,-1.33835971657408,-1.22805434549323,22.1919903789206,4.6861196177971e-08,1.50893051693067e-05
ELOF1,-0.220938586197317,0.227460637246523,0.627651474118408,0.821873095683288,-0.139739551013999,21.9339032011913,5.25617606856718e-08,1.66171617236811e-05
