,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
CREBBP,0.058605800715164,0.264015384771361,0.475229041961615,0.557545783470273,0.262287935073846,23.0573809893125,6.40712456709909e-09,7.90719130357051e-07
PTPMT1,0.0517027903006018,0.185927880429608,0.604536181657858,0.68154657098471,-0.0891732322355078,23.0545422524439,6.41610587629242e-09,7.90719130357051e-07
RPP38,0.0443241088253991,-0.181554721010885,0.720962764372734,0.286380524541993,-0.8266896134726,23.0223176171229,6.51900382249271e-09,7.97934937266063e-07
ERCC2,-0.0330949277215958,0.352934111611099,0.806048522858943,0.470676403687714,-0.790208450681652,22.8990077886641,6.92926093293518e-09,8.42420215988532e-07
KRAS,-0.33370919784734,-0.430638360336828,-0.452141951538486,-0.515314983392282,-0.0320798974751795,22.8738662684889,7.01623075944402e-09,8.47268725199169e-07
WDR48,0.130768351273663,0.246750265261977,0.586284827163763,0.401277263672366,0.215882584327483,22.7085724197565,7.61773526751734e-09,9.13772737789597e-07
CCDC32,-0.028758880268088,0.326667983842084,0.36950857915883,0.611353832898617,0.289728196392758,22.5501172672062,8.24607741137892e-09,9.82593846774443e-07
VPS45,0.0689704929768844,0.309033202743112,0.662233344835361,0.54183527326643,-0.308337938456976,22.3154482066844,9.27999915838696e-09,1.09851990037406e-06
SDHD,0.0444058968448651,0.31103663479079,0.737870030049083,0.888115908304448,0.0520224865448569,22.2978034380832,9.36312762049467e-09,1.09909244248185e-06
CTPS1,0.0462335622210653,0.163403372114342,0.646755953637985,0.724653384241347,-0.390053319476834,22.2885572075159,9.40700473196271e-09,1.09909244248185e-06
MAP2K1,0.0650131205429087,0.245353694002116,0.5317634547187,0.58686988900871,-0.381222873679086,22.2385259387024,9.64824873328128e-09,1.1200060610189e-06
COX6B1,-0.0277891297383353,0.191944754372286,0.433505820685019,0.74687059929226,-0.522406467868437,21.8791775134859,1.15867862623968e-08,1.33641695653401e-06
UQCRFS1,-0.0500198411261452,0.292804072060531,0.550031078497295,0.822614643757871,-0.426295028032738,21.6330919569192,1.31509640993132e-08,1.50716749706333e-06
DHFR,0.144284667005446,0.404027789536778,0.68552516764641,0.751958597843903,-0.539425604654878,21.5355916817755,1.38315388845284e-08,1.57345925817e-06
TAF12,0.11231335364955,0.151690726732827,0.521669980456815,0.428303595239654,-0.201942955920048,21.5254714700458,1.39042973405786e-08,1.57345925817e-06
PKM,-0.036333838738606,0.0234195787460802,0.768818551059263,0.617793409750177,-0.359567028132897,21.4134302174016,1.47375778570794e-08,1.65733273989019e-06
ZNF143,0.0675455202247048,0.276873096206106,0.517144306037204,0.746615414959481,0.487461758326516,21.3627581853106,1.51317425208574e-08,1.6910897091788e-06
WNK1,0.0615235367285792,0.291937841683066,0.453021417105987,0.412202392312635,-0.528522539179143,21.2757248229848,1.58351635455633e-08,1.74857008558266e-06
BRD2,0.142489354866859,0.279661351579573,0.425500888644401,0.501834651626111,0.618983678437448,21.2750883819228,1.58404337214458e-08,1.74857008558266e-06
UQCRC1,0.0817797438714154,0.386458804194985,0.594563113517205,0.672743673464502,-0.486672446953433,21.2508465413517,1.60425688262654e-08,1.76008500543289e-06
CCNC,0.132369182118997,0.431160026425634,0.706562324384971,0.635402194951265,0.0680631798216666,21.238690303371,1.61449623603302e-08,1.76058368332983e-06
RPL28,0.0187332247195108,0.0616254373782221,0.532564874082858,0.707592256344481,-0.482276832577154,21.1840504038488,1.66138636504607e-08,1.80080270278758e-06
TRIAP1,0.000239127299725708,0.230399972072503,0.832748075923545,0.35683406253233,-1.09380223262292,21.1387921499357,1.70132256606652e-08,1.83304772043323e-06
TAF3,0.105374488722806,0.261481384945739,0.464586535017712,0.534814583375428,-0.101611780243037,20.864816284836,1.96595017384363e-08,2.10555604035527e-06
ARID2,-0.0144961016282062,0.378990093921278,0.668031216880517,0.571237292003933,0.110882723142924,20.8051545190811,2.02918760500388e-08,2.16042441283046e-06
TAF4,0.0399972039183333,0.347393101549157,0.372688060194888,0.400521832526031,0.0957566320851488,20.7654398218524,2.07247990096625e-08,2.19353710929917e-06
FAM20B,-0.0983318228107344,-0.406537811518426,-0.518644198183088,-0.47611231014398,0.238754666527894,20.6295996686571,2.22814180035804e-08,2.34450031659896e-06
MTX2,0.0410729129524889,0.283514949981403,0.56341087730282,0.695155680386859,-0.0487167339052132,20.505281052916,2.38152830845316e-08,2.49132784034871e-06
